,en,it
PLAY,Play,Gioca
HOW TO PLAY,How to Play,Regole
MY STATS,My Stats,Statistiche
CREDITS,Credits,Crediti
,,
PROFILE,Profile,Profilo
AUDIO,Audio,Audio
USERNAME,Username,Username
NEW NAME HERE,New Name Here,Nuovo Username
CHANGE,Change,Cambia
TITLE,Title,Titolo
TITLES,Titles,Titoli
TITLES UNLOCKED,Titles Unlocked,Titoli Sbloccati
AVATAR,Avatar,Avatar
AVATARS,Avatars,Avatar
AVATARS UNLOCKED,Avatars Unlocked,Avatar Sbloccati
,,
ANONYMOUS PLAYER,Anonymous Player,Giocatore Anonimo
JUST WANNA HAVE FUN,Just Wanna Have Fun,Vorrei Divertirmi
MISCHIEVOUS TROLL,Mischievous Troll,Troll Dispettoso
DEPRESSED+REPRESSED,Depressed+Repressed,Depresso+Represso
FAKE FRIEND,Fake Friend,Falso Amico
SEND HELP,Send Help,Aiuto
CERTIFIED TRYHARD,Certified Tryhard,Tryhard Certificato
NO MORE FRIENDS,No More Friends,Senza Amici!
SECOND NAME: GYM,Second Name: Gym,Palestra di Cognome
PERSISTENT,Persistent,Persistente
RESOURCEFUL,Resourceful,Pieno di Risorse
LOOSE CANNON,Loose Cannon,Mina Vagante
LIVING ON A PRAYER,Living On A Prayer,Speriamo Bene
VICTIM,Victim,Vittima
SPEEDRUNNER,Speedrunner,Speedrunner
STEADY NERVES,Steady Nerves,Nervisaldi
HOLIDAYS RUINED,Holidays Ruined,Vacanze Rovinate
ACTUAL CRIMINAL,Actual Criminal,Criminale Ricercato
MAIN CHARACTER,Main Character,Er Protagonista
PLAYER OF NO REKNOWN,Player of no Reknown,Giocatore Senza Fama
,,
PLAY TO UNLOCK MORE,Play to unlock more,Sbloccali giocando
VERY NICE,Very nice,Molto bene
KEEP EM COMING,Keep 'em coming,Continua così!
ALMOST THERE,Almost there!,Ci sei quasi!
ALL TITLES GOT,All Titles: GOT,Titoli: 100%
ALL AVATARS GOT,All Avatars: GOT,Avatar: 100%
,,
BOT,Bot,Bot
,,
UNLOCKED AT THE START,Unlocked at the start,Sbloccato all'inizio
LOSE A GAME,Lose a game,Perdi una partita
WIN A GAME,Win a game,Vinci una partita
LOSE 5 GAMES,Lose 5 games,Perdi 5 partite
WIN 5 GAMES,Win 5 games,Vinci 5 partite
PLAY 20 GAMES,Play 20 games,Gioca 20 partite
TRAVEL 150 TILES IN A SINGLE GAME,Travel 150 tiles in a single game,Percorri 150 caselle nella stessa partita
GET SENT BACK TO THE START THRICE IN A SINGLE GAME,Get sent back to the start thrice in a single game,Torna al via 3 volte nella stessa partita
DRAW 10 RED CARDS IN A SINGLE GAME,Draw 10 Red Cards in a single game,Pesca 10 Carte Rosse nella stessa partita
DRAW 20 BLACK CARDS IN A SINGLE GAME,Draw 20 Black Cards in a single game,Pesca 20 Carte Nere nella stessa partita
DRAW 2 ORANGE CARDS IN A SINGLE GAME,Draw 2 Orange Cards in a single game,Pesca 2 Carte Arancioni nella stessa partita
DISCARD 3 OR MORE RED CARDS IN A SINGLE GAME,Discard 3 or more Red Cards in a single game,Scarta 3 Carte Rosse nella stessa partita
WIN A GAME IN LESS THAN 20 MINUTES,Win a game in less than 20 minutes,Vinci una partita in meno di 20 minuti
WIN A GAME IN 45 MINUTES OR MORE,Win a game in 45 minutes or more,Vinci una partita in 45+ minuti
PLAY DURING CHRISTMAS,Play during Christmas,Gioca a Natale
SEND SOMEONE TO THE START 5 TIMES IN A SINGLE GAME,Send someone to the start 5 times in a single game,Manda qualcuno al via 5 volte nella stessa partita
PULL OFF A COMBO,Pull off a combo,Attiva una combo
DRAW FEWER RED CARDS THAN OTHER PLAYERS AND STILL WIN,Draw fewer Red Cards than other players and still win,Pesca meno Carte Rosse degli altri giocatori e vinci
,,
LOSE 3 GAMES,Lose 3 games,Perdi 3 partite
WIN 3 GAMES,Win 3 games,Vinci 3 partite
PLAY 10 GAMES,Play 10 games,Gioca 10 partite
SKIP 5 TURNS IN A SINGLE GAME,Skip 5 turns in a single game,Salta 5 turni nella stessa partita
GET JAILED THRICE IN A SINGLE GAME,Get jailed thrice in a single game,Vai in prigione 3 volte nella stessa partita
HOLD A HAND OF 7 CARDS,Hold a hand of 7 cards,Tieni 7 carte in mano
MAKE PLAYERS GO BACK 100 TILES IN A SINGLE GAME,Make players go back 100 tiles in a single game,Manda indietro di 100 casella i giocatori in una partita
NEGATE 10 BLACK CARDS,Negate 10 Black Cards,Nega 10 Carte Nere
ACTIVATE 3 REACTIONS IN A SINGLE GAME,Activate 3 Reactions in a single game,Attiva 3 Reazioni nella stessa partita
DRAW 100 CARDS,Draw 100 cards,Pesca 100 carte
PLAY FOR 24 HOURS,Play for 24 hours,Gioca per 24 ore
PLAY DURING HALLOWEEN,Play during Halloween,Gioca ad Halloween
LOSE A GAME WHILE STILL AT THE START,Lose a game while still at the start,Perdi una partita mentre sei ancora al via
WIN A GAME WITH THE OTHER PLAYERS NOT EVEN AT TILE 18,Win a game with the other players not even at tile 18,Vinci mentre sei il solo giocatore oltre la casella 18
REFLECT A CERTAIN POWERFUL RED CARD,Reflect a certain powerful Red Card,Rifletti una certa potente Carta Rossa
,,
PLEASE TYPE A NAME,Please type a name,"Prego, digitare un nome"
PLEASE TYPE A NAME SHORTER THAN 12 CHARACTERS,Please type a name shorter than 12 characters,"Prego, digitare un nome di 12 o meno caratteri"
,,
GAMES PLAYED,Games played,Partite giocate
GAMES WON,Games won,Partite vinte
GAMES LOST,Games lost,Partite perse
SHORTEST GAME,Shortest game,Partita piu' corta
LONGEST GAME,Longest game,Partita piu' lunga
GAMES QUIT,Games quit,Partite abbandonate
TILES TRAVELED,Tiles traveled,Caselle percorse
TIMES SENT BACK TO THE START,Times sent back to the start,Volte rimandato al via
TIMES JAILED,Times jailed,Volte imprigionato
TILES MADE OTHER PLAYERS GO BACK,Tiles made other players go back,Caselle fatte indietreggiare agli altri giocatori
TIMES SENT ANOTHER PLAYER BACK TO THE START,Times sent another player back to the start,Volte rimandato un altro giocatore al via
RED CARDS DRAWN,Red Cards drawn,Carte Rosse pescate
BLACK CARDS DRAWN,Black Cards drawn,Carte Nere pescate
ORANGE CARDS DRAWN,Orange Cards drawn,Carte Arancioni pescate
RED CARDS ACTIVATED,Red Cards activated,Carte Rosse attivate
COMBOS ACTIVATED,Combos activated,Combo attivate
REACTIONS ACTIVATED,Reactions activated,Reazioni attivate
RED CARDS NEGATED,Red Cards negated,Carte Rosse negate
BLACK CARDS NEGATED,Black Cards negated,Carte Nere negate
ORANGE CARDS NEGATED,Orange Cards negated,Carte Arancioni negate
CARDS STOLEN FROM OTHER PLAYERS,Cards stolen from other players,Carte rubate ad altri giocatori
CARDS DISCARDED,Cards discarded,Carte scartate
TURNS SKIPPED,Turns skipped,Turni saltati
TIME WASTED HERE,Time wasted here,Tempo sprecato qui
,,
WOULD YOU LIKE TO RESET YOUR STATS?,"Would you like
to reset your stats?","Vuoi resettare
le tue statistiche?"
THIS WILL ALSO RESET ANY TITLES AND AVATARS YOU PREVIOUSLY UNLOCKED,"This will also reset
any titles and avatars
you previously unlocked.","Questo resettera'
anche i titoli ed avatar
che hai sbloccato."
U SURE?,U sure?,Sicuro?
,,
START,Start,Inizio
TURNS_CAP,Turns,Turni
CARDS,Cards,Carte
TILES,Tiles,Caselle
,,
BEFORE THE START OF THE GAME EACH PLAYER CHOOSES A COLOR,"Before the start of the game
each player chooses a color.","Prima di iniziare ciascun
giocatore sceglie un colore."
THEN EACH PLAYER ROLLS A DICE,"Then each player rolls a dice:
The player with the highest roll
gets to starts the game.
(if multiple players have the
highest roll they roll again)","Poi ognuno tira un dado:
Il giocatore con il valore
piu' alto inizia la partita.
(in caso di pareggio allora
i giocatori coinvolti tirano ancora)"
,,
DURING YOUR TURN YOU CAN ROLL THE DICE,"During your turn you can roll the dice;
this makes your pawn advance as many
tiles as the result and ends your turn.
The turn order proceeds clockwise.","Durante il tuo turno puoi tirare il dado;
cosi' la tua pedina avanza del risultato
ed il tuo turno termina.
L'ordine dei turni segue il senso orario."
"BEFORE DOING THAT, YOU CAN ALSO PLAY A RED CARD","Before doing that, you can also
play a Red Card by dragging it
to the center of the board.","Prima di cio', puoi anche giocare
una Carta Rossa trascinandola
al centro del tabellone."
,,
RED CARDS,Red Cards,Carte Rosse
HELPFUL CARDS THAT ARE ADDED,"Helpful cards that are
added to the player's hand
after drawing them (max 7).
You can activate one each of
your turns before rolling.","Carte utili aggiunte alla
mano del giocatore dopo
averle pescate (max 7).
Puoi attivarne una ogni tuo
turno prima di tirare il dado."
BLACK/ORANGE CARDS,Black/Orange Cards,Carte Nere/Arancioni
CARDS WITH MIXED EFFECTS ACTIVATED IMMEDIATELY,"Cards with mixed effects activated
immediately when drawn.
Orange cards are rarer but have
more dangerous effects.","Carte con effetti misti che sono
attivati non appena sono pescate.
Quelle arancioni sono piu' rare ma
hanno anche effetti piu' pericolosi."
REACTIONS,Reactions,Reazioni
RED CARDS WITH SPECIAL ACTIVATION,"Red cards that can be
used anytime when their
special requirements are
satisfied, except against
other reactions.","Carte rosse utilizzabili
qualora le loro condizioni
di attivazione sono
soddisfatte, tranne
contro altre reazioni."
TAP ON A CARD TO READ ITS EFFECT, Tap on a card to read its effect, Tocca una carta per leggerne l'effetto
,,
DIFFERENT TYPES OF TILE,Different types of tile have different effects:,Caselle di tipo diverso hanno effetti diversi:
DRAW A RED CARD,"Draw a
Red Card","Pesca una
Carta Rossa"
DRAW A BLACK CARD,"Draw a
Black Card","Pesca una
Carta Nera"
DRAW AN ORANGE CARD,"Draw an
Orange Card","Pesca una
Carta Arancione"
ROLL AGAIN,Roll Again,Ritira il dado
SKIP YOUR NEXT TURN,"Skip your
next turn","Salta il tuo
prossimo turno"
MOVE UP 1 TILE OR GET A RED CARD FROM AN OPPONENT,"Move up 1 tile or
get a Red Card from
an opponent","Avanza di una casella
o ricevi una Carta Rossa
da un avversario"
ROLL ODD/EVEN AND GO TO THE TILE POINTED,"Roll odd/even and go
the tile pointed by the
corresponding arrow","Tira pari/dispari e vai
alla casella puntata dalla
freccia corrispondente"
GO BACK TO THE START,"Go back
to the start","Torna
al via"
STAY IN JAIL FOR 2 TURNS,"You are jailed
for 2 turns:
Each turn in jail roll
twice; if you roll
the same number
twice escape and
move up that much,
else end your turn.
You can't use most
Red Cards while
jailed.","Sei in prigione
per 2 turni:
Ogni turno tira
il dado 2 volte;
se fai lo stesso
numero evadi ed
avanza, altrimenti
termina il turno.
Non puoi usare
Carte Rosse mentre
sei in prigione."
VICTORY,VICTORY,VITTORIA
,,
PLAY WITH FRIENDS,"Play with
Friends","Gioca con
Amici"
BOT MATCH,"Bot
Match","Gioca con
la CPU"
,,
CHOOSE A COLOR,Choose a Color,Scegli un Colore
CLICK TO START,Click to Start,Clicca per Iniziare
,,
CREATE ROOM,Create Room,Crea una Stanza
JOIN ROOM,Join Room,Entra in Stanza
LEAVE,Leave,Esci
CANCEL,Cancel,Cancella
...NO HOST FOUND...,...No host found...,...Stanza non trovata...
SHOW,Show,Mostra
REALLY?,Really?,Davvero?
HIDE,Hide,Nascondi
YOUR IP,Your IP,Il tuo IP
HOST'S IP,Host's IP,IP dell'ospite
,,
USE YING AND YANG TOGETHER?,"Use Ying and
Yang together?","Vuoi usare
Ying e Yang
assieme?"
"USE KEBAB, BREAD AND SAUCE TOGETHER?","Use Kebab,
Bread and Sauce
together?","Vuoi usare
Kebab, Panino e
Salsa assieme?"
,,
'S TURN,%s's Turn,Turno di %s
,,
WINS!,Wins!,ha Vinto!
'S STATS,%s's Stats,Statistiche di %s
PLAY AGAIN,Play Again,Gioca Ancora
MAIN MENU,Main Menu,Torna al Menu'
,,
CHOOSE,Choose,Scegli
STOP,Stop,Basta
,,
REACT!,React!,Reagisci
PASS,Pass,Passa
,,
TURN,Turn,Turno
CURRENT,Current,Tocca a
RED,Red,Rosso
BLUE,Blue,Blu
GREEN,Green,Verde
YELLOW,Yellow,Giallo
RED'S TILE,Red's Tile,Casella Rosso
BLUE'S TILE,Blue's Tile,Casella Blu
GREEN'S TILE,Green's Tile,Casella Verde
YELLOW'S TILE,Yellow's Tile,Casella Giallo
,,
THE MATCH STARTS!,The match starts!,Inizia la partita!
HAS TO CHOOSE BETWEEN A +5 AND A +6,has to choose between a +5 and a +6,deve scegliere tra un +5 ed un +6
HAS TO CHOOSE BETWEEN A +1 AND GETTING A GIFT,has to choose between a +1 and getting a gift,deve scegliere tra un +1 e ricevere un regalo
GETS A GIFT FROM...,get a gift from...,riceve un regalo da...
GETS TO ROLL AGAIN,gets to roll again,deve tirare ancora
HAS TO ROLL EVEN OR ODD,has to roll even or odd,deve tirare pari o dispari
STARTS THE MATCH,starts the match,inizia la partita
SKIPS A TURN,skips a turn,salta un turno
IS IN JAIL,is in jail,e' in prigione
IT'S X'S TURN,It's %s's turn,Tocca a %s
ADVANCES 1 TILE,advances 1 tile,avanza di una casella
ADVANCES X TILES,advances %s tiles,avanza %s caselle
GOES BACK 1 TILE,goes back 1 tile,indietreggia di una casella
GOES BACK X TILES,goes back %s tiles,indietreggia di %s caselle
DOESN'T MOVE,doesn't move,non si muove
ADVANCED TO TILE,advanced to tile,avanza alla casella
WENT BACK TO TILE,went back to tile,torna alla casella
STAYS ON TILE,stays on tile,resta sulla casella
IS SENT TO TILE,is sent to tile,arriva sulla casella
DRAWS A RED CARD,draws a Red Card,pesca una Carta Rossa
CAN'T DRAW ANY MORE RED CARDS,can't draw any more Red Cards,non puo' pescare altre Carte Rosse
DRAWS A BLACK CARD,draws a Black Card,pesca una Carta Nera
CAN'T DRAW ANY MORE BLACK CARDS,can't draw any more Black Cards,non puo' pescare altre Carte Nere
DRAWS AN ORANGE CARD,draws a Orange Card,pesca una Carta Arancione
STARTS ESCAPING WITH A,starts escaping with a,prova ad evadere con un
AND FOLLOWS IT WITH A,And follows it with a,E segue con un
ESCAPED!,escaped!,evade!
GOT RELEASED,got released,esce di prigione
STAYS IN JAIL,stays in jail,resta in prigione
DISCARDS A CARD,discards a card,scarta una carta
RETRIEVES A CARD,retrieves a card,recupera una carta
GIVES A CARD TO,gives a card to,cede una carta a
TURNS,turns,turni
SKIPS THEIR NEXT TURN,skips their next turn,salta il suo prossimo turno
SKIPS THEIR NEXT,skips their next turn,salta i suoi prossimi
GOT JAILED,got jailed,entra in prigione
A AND B TRADE HANDS,%s and %s trade hands,%s e %s si scambiano le carte
SHUFFLES THEIR HAND BACK INTO THE DECK,shuffles their hand back into the deck,rimischia le sue carte nel mazzo
A REUSES THE BLACK CARD B AGAINST C,%s reuses the Black Card %s against %s,%s riusa la Carta Nera %s contro %s
IS MOVING BACKWARDS NEXT TURN,is moving backwards next turn,indietreggia il prossimo turno
HAD THEIR MOVEMENT ROLL HALVED FOR THE NEXT,had their movement roll halved for the next,ha il tiro di movimento dimezzato per i prossimi
A TURNED B AND ITS ADJACENT TILES INTO C,%s turned %s and its adjacent tiles into %s,%s trasforma la %s e le sue caselle adiacenti in %s
PARKING METER SPACES,Parking Meter spaces,spazi Parchimetro
MINEFIELD SPACES,Minefield spaces,spazi Campo Minato
CAN'T PLAY RED CARDS FOR THE NEXT,can't play Red Cards for the next,non puo' giocare Carte Rosse per i prossimi
IS IMMUNE TO RED CARDS FOR THE NEXT,is immune to Red Cards for the next,e' immune alle Carte Rosse per i prossimi
PLAYS WITH THEIR HAND REVEALED FOR THE NEXT,plays with their hand revealed for the next,gioca con la mano scoperta per i prossimi
IS IMMUNE TO BLACK CARDS FOR THE NEXT,is immune to Black Cards for the next,e' immune alle Carte Nere per i prossimi
,,
THE TURN ORDER IS REVERSED,The turn order is reversed,L'ordine dei turni e' stato invertito
A NEW PAWN HAS ENTERED THE BOARD,A new pawn has entered the board,Una nuova pedina entra in gioco
THE EXTRA PAWN LEFT THE BOARD,The extra pawn left the board,La pedina extra ha lasciato il tabellone
THE EXTRA PAWN MOVED TO TILE,The extra pawn move to tile,La pedina extra passa alla casella
A ACTIVATED A C SPACE PLACED BY B,%s activated a %s space placed by %s,%s ha attivato uno spazio %s di %s
ACTIVATES A RED CARD,activates a Red Card,attiva una Carta Rossa
REACTION!,Reaction!,Reazione!
ACTIVATES A COMBO,activates a COMBO,attiva una COMBO
,,
CLICK ON THE MAP TO SELECT A TILE,Click on the map to select a tile,Clicca sulla mappa e scegli una casella
,,
THE CARD IS NEGATED,The card is negated!,Carta negata!
THE CARD IS REFLECTED,The card is reflected!,Carta riflessa!
THE CARD AFFECTS BOTH PLAYERS,The card affects both players!,La carta ha effetto su entrambi i giocatori!
IS EXEMPTED,is exempted!,si esonera!
THE CARD CHANGES TARGET,The card changes target!,La carta cambia bersaglio!
,,
DICE TOSS,Dice Toss,Cannonata
DICE TOSS EFFECT,"Roll the dice thrice and sum its results:
Move up that much.","Tira il dado 3 volte e somma i risultati:
Avanza del risultato finale."
JACKPOT,Jackpot,Jackpot
JACKPOT EFFECT,Draw 3 Red Cards.,Pesca 3 Carte Rosse.
FULL HOUSE,Full House,FULL
FULL HOUSE EFFECT,"Draw a Red Card, each opponent then discards a Card.","Pesca una Carta Rossa, ciascun avversario poi scarta una Carta."
GRAVETENDER,Gravetender,Custode di Tombe
GRAVETENDER EFFECT,Add a Red Card from the discard pile to your hand.,Aggiungi una Carta Rossa dalla pila degli scarti alla tua mano.
BANKRUPT,Bankrupt,Bancarotta
BANKRUPT EFFECT,"Roll the dice and go back by the result, then sum the digits of your new tile:
Go to the resulting tile.","Tira il dado ed indietreggia del risultato, poi somma le cifre della tua nuova casella:
Vai alla casella risultante."
PRANKZ GONE WRONG,Prankz Gone Wrong,Sch3rz0 Finito Male
PRANKZ GONE WRONG EFFECT,Discard your whole hand.,Scarta la tua mano.
ALMS DE RIGUEUR,Alms de Rigueur,Alms de Rigueur
ALMS DE RIGUEUR EFFECT,Give a Card from your hand to each opponent (following the turn order).,Cedi una Carta dalla tua mano a ciascun avversario (seguendo il giro)
WHAT A HORRIBLE NIGHT,What a Horrible Night,Una Notte Terribile
WHAT A HORRIBLE NIGHT EFFECT,Skip your next 3 turns.,Salta i tuoi prossimi 3 turni.
SWITCHER-DOO,Switcher-Doo,Sinisvolta
SWITCHER-DOO EFFECT,Switch your hand with the next player (according to turn order).,Scambia la tua mano con il prossimo giocatore (seguendo il giro).
SWITCHER-DEE,Switcher-Dee,Desvolta
SWITCHER-DEE EFFECT,Switch your hand with the previous player (according to turn order).,Scambia la tua mano con il giocatore precedente (seguendo il giro).
STRAY SHOT,Stray Shot,Colpo Vagante
STRAY SHOT EFFECT,"Roll the dice twice and interpret the results as the first and second digits of a number respectively:
Go to the resulting tile.","Tira il dado 2 volte ed interpreta i risultati rispettivamente come prima e seconda cifra di un numero:
Vai alla casella risultante."
HIGH STAKES,High Stakes,Posta Alta
HIGH STAKES EFFECT,"Roll a dice:
If the result is even move up five times your movement roll this turn, else go back to the start.","Tira un dado:
Se il fai pari allora avanza cinque volte il tuo tiro di movimento questo turno, altrimenti torna al via."
,,
+1,,
+1 EFFECT,Move up 1 tile.,Avanza di una casella.
-1,,
-1 EFFECT,Go back 1 tile.,Indietreggia di una casella.
+2,,
+2 EFFECT,Move up 2 tiles.,Avanza di 2 caselle.
-2,,
-2 EFFECT,Go back 2 tiles.,Indietreggia di 2 caselle.
+3,,
+3 EFFECT,Move up 3 tiles.,Avanza di 3 caselle.
-3,,
-3 EFFECT,Go back 3 tiles.,Indietreggia di 3 caselle.
+4,,
+4 EFFECT,Move up 4 tiles.,Avanza di 4 caselle.
-4,,
-4 EFFECT,Go back 4 tiles.,Indietreggia di 4 caselle.
+5,,
+5 EFFECT,Move up 5 tiles.,Avanza di 5 caselle.
-5,,
-5 EFFECT,Go back 5 tiles.,Indietreggia di 5 caselle.
MOVE UP!,Move Up!,Avanzata
MOVE UP! EFFECT,Move up 6 tiles.,Avanza di 6 caselle.
BLASTING OFF!,Blasting Off!,Decollo
BLASTING OFF! EFFECT,Go back 6 tiles.,Indietreggia di 6 caselle.
ILL FATE,Ill Fate,Iettatura
ILL FATE EFFECT,"Roll a dice:
Go back as many tiles equal to the result.","Tira un dado:
Indietreggia del risultato."
REVERSAL,Reversal,Inversione
REVERSAL EFFECT,The turn order is reversed.,L'ordine di gioco e' invertito.
REVERSAL 2: THE RETURN,Reversal 2: The ReTurn,Inversione 2: Il Ritorno
